"Price","Sq.feet","Title","Address","Date.Posted","Building.Type","Bedrooms","Bathrooms","Utilities","Wi.Fi.and.More","Parking.Included","Agreement.Type","Move.In.Date","Pet.Friendly","Furnished","Air.Conditioning","Personal.Outdoor.Space","Smoking.Permitted","Appliances","Amenities","Description","Visit.Counter","url"
3485,1,"3 bedroom apartment for rent","160 Canon Jackson Dr, Toronto, ON M6M 0B6","2024-03-03 16:57:20","Apartment","3","2",NA,"Not Included","1","1 Year","March 30, 2024","Yes","No","No","Not Included","Outdoors only",NA,NA,"Big corner apartment unit for rent 3 bedrooms 2 bathrooms with 3 balcony’s, 1 locker and parking space underground
Pet friendly
Requirements
-credit score
- last two months of pay stubs","36 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-apartment-for-rent/1687160948"
1800,650,"*EAST YORK 1 BED 1 BATH BASEMENT RENOD APARTM - $1750+Util*","Toronto, ON M4J","2024-03-04 12:22:27","Basement","1","1",NA,"Not Included","0","1 Year","March 4, 2024","No","No","No","Yard","No","Laundry (In Building)",NA,"Fully Renovated
1 Bedroom
1 Bathroom
$1800 + Util
Move in ready","69 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/east-york-1-bed-1-bath-basement-renod-apartm-1750-util/1687233973"
2069,411,"105 West Lodge - Studio Apartment in the Heart of Parkdale Apart","105 West Lodge, Toronto, ON, M6K 2T8","2024-03-14 16:15:44","Apartment","Bachelor/Studio","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Storage Space, Elevator in Building","Building Overivew",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/105-west-lodge-studio-apartment-in-the-heart-of-parkdale-apart/1678918599"
3500,970,"2 Bd/2ba - Toronto - Bremner/York St waterfront financial core","Grand Trunk Crescent, Toronto, ON","2024-02-23 00:31:29","Apartment","2","2","Hydro_Yes,Heat_Yes,Water_Yes","Internet","1","1 Year","March 1, 2024","Yes","Yes","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","DT Bremner/York St waterfront financial core (all-incl + amenities)
Available immediately! Experience prime waterfront living in the downtown core for a steal – Approx. 970 sqf, Sun-soaked open concept living/dining room with ceiling to floor glass windows and South-west partial lake view gives tons of natural light across the unit all day (with window shades for added privacy). Unit features a chef-sized Kitchen W/Granite breakfast bar & breakfast Area/Home Office, 2 large-sized bedrooms, 2 full bathrooms, 1 extra-large corner terrace balcony and 1 regular balcony. (PLS SEE ALL PICS).
INCLUSIONS - S/Steel Appliances: Fridge, Stove with Hood, Dishwasher, Microwave, New LG Washer And Dryer, All Elfs And Window Coverings, 1 underground parking close to elevator, secure bike rack room, and separate storage locker area. Rent is $3500 (all-inclusive) Bell 1.5Gbps unlimited internet access and all utilities (heat, hydro and water) (total $400+ in value). Also see amenities listed BELOW. Can discuss PETS if any.
This perfect central location covers Union Station, Scotia Bank Arena, Harbourfront and Parks, CN Tower + Rogers Centre all within a 5-minute WALKING radius! The York-st. Gardiner exit is just a 2-min drive away AND the building is also perfectly connected to the underground PATH adjoining a LONGOS which covers all of your grocery needs. The adjoining buildings also feature Starkbucks, Tim Hortons, a Dollarama and a Winners location not to mention a plethora of restaurants and parks in the area.
Building is LOADED with AMENITIES – 24/7 Concierge, Guest suites, BBQ and picnic garden area, library and study rooms, expansive party room (20+), movie theater room (sitting 15+), swimming pool and jacuzzi, sauna, basketball court, and games rooms including ping pong and multiple billiards tables. (more pics here : https://toronto.craigslist.org/tor/apa/d/toronto-dowtown-living-bed-bath-max/7720388084.html)","85 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bd-2ba-toronto-bremner-york-st-waterfront-financial-core/1686139197"
1900,700,"2 Bedroom Condo Sublet (North York) Available March 1st","North York, ON M6A 2T9",NA,"Condo","2","2",NA,"Not Included","0","Month-to-month","March 1, 2024","No","Yes","Yes","Balcony","No","Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Hello Future Tenant!","1,150 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condo-sublet-north-york-available-march-1st/1684206659"
1400,450,"1 BEDROOM APARTMENT - INDEPENDENT UNIT ON GROUND FLOOR","Scarborough, ON M1S 0B3",NA,"Apartment","1","1",NA,"Internet","0","1 Year","March 1, 2024","No","No","Yes","Yard","No","Laundry (In Building)","Storage Space","Near Markham/McCown and Sheppard in Scarborough. 1 Bedroom Apartment on ground floor (see pictures) with kitchen and bath having separate entrance.
Quiet, peaceful, VEGETARIAN home looking for similar tenant. Suitable for Professionals or working couple.
** INDEPENDENT UNIT * NOT SHARED * NOT IN BASEMENT **
Internet and laundry included. One Parking Spot is available (extra).
No smoking, No pets .***No exceptions.***
Steps to TTC. Walk to grocery store, shopping plaza and all amenities. Minutes to Highway 401, Schools (in high demand Agincourt Collegiate boundary), Library, Centennial College, University of Toronto and places of worship.
Furniture shown in pics to help visualize available space.
Contact Jai via WhatsApp message or by replying to this Ad on Kijiji (preferred). ***Serious Inquiries only.***
Rental Application and supporting documentation required to confirm your rental worthiness. Thanks for your interest.
Please note : This Ad will be removed once rented.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-independent-unit-on-ground-floor/1684143424"
2000,460,"Renovated Bachelor @ Yonge and Davisville","155 Balliol Street, Toronto, ON, M4S 1C2","2024-03-07 13:24:00","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Yes","No","Yes","YardBalcony","No","Laundry (In Building), Fridge / Freezer","Gym, Pool, Bicycle Parking, Storage Space, Elevator in Building","Bachelors, 1 Bath, Air-Conditioned, Recently Renovated Kitchen with Stainless Steel Appliances, Amazing Location close to Subway, Unit Available! Contact us at 647-560-3945Balliol Towers",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-yonge-and-davisville/1687518947"
3209,912,"6020 Bathurst Street - Valencia Towers Apartment for Rent","6020 Bathurst Street, Toronto, ON, M2R 1Z8","2024-02-24 23:30:00","Apartment","2","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Elevator in Building","Valencia Towers is a student- and family-friendly apartment community featuring cozy suites, coveted on-site amenities, and an excellent Bathurst Street location.Choose from bachelor, 1, 2 and 3 bedroom suites to suit your and your family's needs. These pet friendly and renovated apartment homes feature spacious layouts and private balconies. Condo-style on-site amenities include a gym, laundry facilities, and an on-site daycare, all under professional on-site management. This Certified Rental Building is located near Bathurst and Steeles in bustling North York. Students and staff can reach York University in 20 minutes by transit or 10 minutes by car. Valencia Towers is also close to shopping, grocery, restaurants, banks, pharmacies, and entertainment, including the G Ross Lord Park nearby. Make an investment in your quality of life. Come home to the comfort and convenience of Valencia Towers. nullBuilding OverivewValencia Towers is a student- and family-friendly apartment community featuring cozy suites, coveted on-site amenities, and an excellent Bathurst Street location.Choose from bachelor, 1, 2 and 3 bedroom suites to suit your and your family's needs. These pet friendly and renovated apartment homes feature spacious layouts and private balconies. Condo-style on-site amenities include a gym, laundry facilities, and an on-site daycare, all under professional on-site management. This Certified Rental Building is located near Bathurst and Steeles in bustling North York. Students and staff can reach York University in 20 minutes by transit or 10 minutes by car. Valencia Towers is also close to shopping, grocery, restaurants, banks, pharmacies, and entertainment, including the G Ross Lord Park nearby. Make an investment in your quality of life. Come home to the comfort and convenience of Valencia Towers.Current PromotionsHurry! 1 Month Free - For a limited time only | Call Today!For a limited time, you can receive ONE MONTH FREE on a 12-month lease. *Receive your first month free on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/6020-bathurst-street-valencia-towers-apartment-for-rent/1686337255"
1975,600,"2 Bedroom, 1 Bath Basement Apt. for Rent in North York","North York, ON M2J 3R7","2024-02-14 16:38:45","Basement","2","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","1","1 Year","March 15, 2024","No","No","Yes","Yard","No","Laundry (In Building)",NA,"2 bedroom, 2 bath basement apartment located in the vibrant neighborhood of North York. Close to TTC, 404, 401, Fairview mall/Subway,","316 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-1-bath-basement-apt-for-rent-in-north-york/1685286409"
2299,570,"unit appartment for rent","Mabelle Ave, Etobicoke, ON M9A 0C9",NA,"Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","1","1 Year","March 1, 2024","Limited","No","Yes","Not Included","No","Laundry (In Unit), Dishwasher","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","-Furnished - extra //$50//
-High speed internet included
-1 parking spot - extra $100
-Tenant pays utilities
-Available from @March 1@
Great location!!! by islington and bloor 3 min walking to islington subway/bus station, direct connection to Toronto and Mississauga downtown.
will be great for 1 person or a couple.
Location : 9 mabelle avenue
feel free to reach out to visit or more info","121 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/unit-appartment-for-rent/1684234989"
